contract_id,FOM,MOC,start_of_contract,POC,contract_status,total_activities,meeting_count,email_count,postal_count,invitation_count,training_count,checkin_count,onboarding_count,renewal_pricing_count,inperson_count,demo_count,gift_count,document_count,total_duration,average_duration,attend_count,not_attend_count,cancel_count,high_priority_count,negative_sentiment_count,agg_total_activities,agg_meeting_count,agg_email_count,agg_postal_count,agg_invitation_count,agg_training_count,agg_checkin_count,agg_onboarding_count,agg_renewal_pricing_count,agg_inperson_count,agg_demo_count,agg_gift_count,agg_document_count,agg_total_duration,agg_attend_count,agg_not_attend_count,agg_cancel_count,agg_high_priority_count,agg_negative_sentiment_count,rolling_avg_average_duration,mom_total_activities,mom_total_duration,mom_attend_count,mom_not_attend_count,mom_cancel_count,mom_high_priority_count,mom_negative_sentiment_count,contract_year,ischr,activity_score,activity_score_label
contract_10_1_1,2020-11-01,2,2020-10-01,0.16666666666666666,churned,1,1,0,0,0,1,0,0,0,0,0,0,0,120,,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,120,0,0,1,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,1,0,normal
contract_10_1_1,2021-01-01,4,2020-10-01,0.3333333333333333,churned,1,1,0,0,0,1,0,0,0,0,0,0,0,90,90.0,1,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,210,1,0,1,0,0,90.0,0.0,-30.0,1.0,0.0,-1.0,0.0,0.0,2021,1,0,normal
contract_10_1_1,2021-06-01,9,2020-10-01,0.75,churned,1,1,0,0,0,1,0,0,0,0,0,0,0,30,30.0,1,0,0,0,1,3,3,0,0,0,3,0,0,0,0,0,0,0,240,2,0,1,0,1,60.0,0.0,-60.0,0.0,0.0,0.0,0.0,1.0,2021,1,0,normal
contract_10_1_1,2021-08-01,11,2020-10-01,0.9166666666666666,churned,2,2,0,0,0,0,1,1,0,0,0,0,0,90,45.0,2,0,0,1,0,5,5,0,0,0,3,1,1,0,0,0,0,0,330,4,0,1,1,1,55.0,1.0,60.0,1.0,0.0,0.0,1.0,-1.0,2021,1,0,normal
contract_10_1_10,2020-11-01,2,2020-10-01,0.16666666666666666,unknown,1,1,0,0,0,1,0,0,0,0,0,0,0,120,120.0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,120,1,0,0,1,0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,0,0,normal
contract_10_1_10,2020-12-01,3,2020-10-01,0.25,unknown,1,1,0,0,1,0,0,0,0,0,0,0,0,30,30.0,1,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,150,2,0,0,1,0,75.0,0.0,-90.0,0.0,0.0,0.0,-1.0,0.0,2020,0,0,normal
contract_10_1_10,2021-04-01,7,2020-10-01,0.5833333333333334,unknown,1,0,1,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,3,2,1,0,2,1,0,0,0,0,0,0,0,150,2,0,0,1,0,75.0,0.0,-30.0,-1.0,0.0,0.0,0.0,0.0,2021,0,0,normal
contract_10_1_10,2021-08-01,11,2020-10-01,0.9166666666666666,unknown,2,1,1,0,1,0,0,0,0,0,0,0,1,60,60.0,1,0,0,1,0,5,3,2,0,3,1,0,0,0,0,0,0,1,210,3,0,0,2,0,70.0,1.0,60.0,1.0,0.0,0.0,1.0,0.0,2021,0,0,normal
contract_10_1_11,2020-11-01,2,2020-10-01,0.16666666666666666,unknown,1,1,0,0,0,0,0,0,0,0,1,0,0,90,90.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,90,1,0,0,0,0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,0,0,normal
contract_10_1_11,2020-12-01,3,2020-10-01,0.25,unknown,1,0,0,1,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,1,0,0,90,1,0,0,0,0,90.0,0.0,-90.0,-1.0,0.0,0.0,0.0,0.0,2020,0,0,normal
