contract_id,FOM,MOC,POC,contract_status,total_activities,meeting_count,email_count,postal_count,invitation_count,training_count,checkin_count,onboarding_count,renewal_pricing_count,inperson_count,demo_count,gift_count,document_count,total_duration,average_duration,attend_count,not_attend_count,cancel_count,high_priority_count,negative_sentiment_count,agg_total_activities,agg_meeting_count,agg_email_count,agg_postal_count,agg_invitation_count,agg_training_count,agg_checkin_count,agg_onboarding_count,agg_renewal_pricing_count,agg_inperson_count,agg_demo_count,agg_gift_count,agg_document_count,agg_total_duration,agg_attend_count,agg_not_attend_count,agg_cancel_count,agg_high_priority_count,agg_negative_sentiment_count,rolling_avg_average_duration,mom_total_activities,mom_total_duration,mom_attend_count,mom_not_attend_count,mom_cancel_count,mom_high_priority_count,mom_negative_sentiment_count,contract_year,agg_total_activities_label,agg_total_activities_median_ischr,agg_total_activities_median_isup,agg_total_duration_label,agg_total_duration_median_ischr,agg_total_duration_median_isup,agg_attend_count_label,agg_attend_count_median_ischr,agg_attend_count_median_isup,agg_not_attend_count_label,agg_not_attend_count_median_ischr,agg_not_attend_count_median_isup,agg_cancel_count_label,agg_cancel_count_median_ischr,agg_cancel_count_median_isup,agg_high_priority_count_label,agg_high_priority_count_median_ischr,agg_high_priority_count_median_isup,agg_negative_sentiment_count_label,agg_negative_sentiment_count_median_ischr,agg_negative_sentiment_count_median_isup
contract_10_1_1,2020-08-01,8,0.6666666666666666,churned,1,1,0,0,1,0,0,0,0,0,0,0,0,60,60.0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,60,1,0,0,0,1,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,risky,2.0,7.0,risky,90.0,360.0,normal,1.0,4.0,normal,0.0,0.0,normal,0.0,0.0,risky,1.0,2.0,normal,0.0,1.0
contract_10_1_10,2020-02-01,2,0.16666666666666666,upsell,2,0,0,2,0,1,0,0,0,0,0,1,0,0,,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,normal,2.0,7.0,risky,90.0,360.0,risky,1.0,4.0,normal,0.0,0.0,normal,0.0,0.0,risky,1.0,2.0,normal,0.0,1.0
contract_10_1_10,2020-09-01,9,0.75,upsell,1,1,0,0,0,0,1,0,0,0,0,0,0,90,90.0,1,0,0,1,0,3,1,0,2,0,1,1,0,0,0,0,1,0,90,1,0,0,1,0,90.0,-1.0,90.0,1.0,0.0,0.0,1.0,0.0,2020,normal,2.0,7.0,normal,90.0,360.0,normal,1.0,4.0,normal,0.0,0.0,normal,0.0,0.0,normal,1.0,2.0,normal,0.0,1.0
contract_10_1_10,2020-10-01,10,0.8333333333333334,upsell,1,1,0,0,1,0,0,0,0,0,0,0,0,90,90.0,1,0,0,1,0,4,2,0,2,1,1,1,0,0,0,0,1,0,180,2,0,0,2,0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,normal,2.0,7.0,normal,90.0,360.0,normal,1.0,4.0,normal,0.0,0.0,normal,0.0,0.0,normal,1.0,2.0,normal,0.0,1.0
contract_10_1_10,2020-11-01,11,0.9166666666666666,upsell,1,1,0,0,0,0,0,0,0,1,0,0,0,30,,0,0,1,0,0,5,3,0,2,1,1,1,0,0,1,0,1,0,210,2,0,1,2,0,90.0,0.0,-60.0,-1.0,0.0,1.0,-1.0,0.0,2020,normal,2.0,7.0,normal,90.0,360.0,normal,1.0,4.0,normal,0.0,0.0,healthy,0.0,0.0,normal,1.0,2.0,normal,0.0,1.0
contract_10_1_11,2020-01-01,1,0.08333333333333333,upsell,1,0,1,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,risky,2.0,7.0,risky,90.0,360.0,risky,1.0,4.0,normal,0.0,0.0,normal,0.0,0.0,risky,1.0,2.0,normal,0.0,1.0
contract_10_1_11,2020-02-01,2,0.16666666666666666,upsell,1,1,0,0,0,1,0,0,0,0,0,0,0,30,30.0,1,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,1,30,1,0,0,0,1,30.0,0.0,30.0,1.0,0.0,0.0,0.0,1.0,2020,normal,2.0,7.0,risky,90.0,360.0,normal,1.0,4.0,normal,0.0,0.0,normal,0.0,0.0,risky,1.0,2.0,normal,0.0,1.0
contract_10_1_11,2020-03-01,3,0.25,upsell,1,0,1,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,1,0,3,1,2,0,0,1,0,1,0,0,0,0,1,30,1,0,0,1,1,30.0,0.0,-30.0,-1.0,0.0,0.0,1.0,-1.0,2020,normal,2.0,7.0,risky,90.0,360.0,normal,1.0,4.0,normal,0.0,0.0,normal,0.0,0.0,normal,1.0,2.0,normal,0.0,1.0
contract_10_1_11,2020-05-01,5,0.4166666666666667,upsell,2,0,2,0,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,5,1,4,0,1,1,0,1,1,0,0,0,1,30,1,0,0,1,1,30.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,2020,normal,2.0,7.0,risky,90.0,360.0,normal,1.0,4.0,normal,0.0,0.0,normal,0.0,0.0,normal,1.0,2.0,normal,0.0,1.0
contract_10_1_11,2020-07-01,7,0.5833333333333334,upsell,1,1,0,0,0,0,0,0,0,1,0,0,0,120,120.0,1,0,0,1,0,6,2,4,0,1,1,0,1,1,1,0,0,1,150,2,0,0,2,1,75.0,-1.0,120.0,1.0,0.0,0.0,1.0,0.0,2020,normal,2.0,7.0,normal,90.0,360.0,normal,1.0,4.0,normal,0.0,0.0,normal,0.0,0.0,normal,1.0,2.0,normal,0.0,1.0
