Feature,Statistic,Year,Category,Value
agg_total_activities,min,2020,ischr,1.0
agg_total_activities,min,2021,ischr,1.0
agg_total_activities,min,2022,ischr,1.0
agg_total_activities,min,2023,ischr,1.0
agg_total_activities,min,2024,ischr,1.0
agg_total_activities,mean,2020,ischr,1.6111111111111112
agg_total_activities,mean,2021,ischr,2.1164383561643834
agg_total_activities,mean,2022,ischr,2.2770448548812663
agg_total_activities,mean,2023,ischr,2.2481536189069424
agg_total_activities,mean,2024,ischr,2.742857142857143
agg_total_activities,median,2020,ischr,1.0
agg_total_activities,median,2021,ischr,2.0
agg_total_activities,median,2022,ischr,2.0
agg_total_activities,median,2023,ischr,2.0
agg_total_activities,median,2024,ischr,3.0
agg_total_activities,max,2020,ischr,3.0
agg_total_activities,max,2021,ischr,5.0
agg_total_activities,max,2022,ischr,5.0
agg_total_activities,max,2023,ischr,5.0
agg_total_activities,max,2024,ischr,5.0
agg_total_activities,std,2020,ischr,0.7775443160352294
agg_total_activities,std,2021,ischr,1.1890899097272714
agg_total_activities,std,2022,ischr,1.2867973145256977
agg_total_activities,std,2023,ischr,1.253580783635442
agg_total_activities,std,2024,ischr,1.262860876307555
agg_total_duration,min,2020,ischr,0.0
agg_total_duration,min,2021,ischr,0.0
agg_total_duration,min,2022,ischr,0.0
agg_total_duration,min,2023,ischr,0.0
agg_total_duration,min,2024,ischr,0.0
agg_total_duration,mean,2020,ischr,81.66666666666667
agg_total_duration,mean,2021,ischr,117.32876712328768
agg_total_duration,mean,2022,ischr,133.21899736147756
agg_total_duration,mean,2023,ischr,124.87444608567208
agg_total_duration,mean,2024,ischr,140.21428571428572
agg_total_duration,median,2020,ischr,90.0
agg_total_duration,median,2021,ischr,120.0
agg_total_duration,median,2022,ischr,120.0
agg_total_duration,median,2023,ischr,120.0
agg_total_duration,median,2024,ischr,120.0
agg_total_duration,max,2020,ischr,210.0
agg_total_duration,max,2021,ischr,390.0
agg_total_duration,max,2022,ischr,480.0
agg_total_duration,max,2023,ischr,480.0
agg_total_duration,max,2024,ischr,540.0
agg_total_duration,std,2020,ischr,53.27509074715544
agg_total_duration,std,2021,ischr,89.54514250396689
agg_total_duration,std,2022,ischr,101.36466755542429
agg_total_duration,std,2023,ischr,95.191447765481
agg_total_duration,std,2024,ischr,103.22116018525355
agg_attend_count,min,2020,ischr,0.0
agg_attend_count,min,2021,ischr,0.0
agg_attend_count,min,2022,ischr,0.0
agg_attend_count,min,2023,ischr,0.0
agg_attend_count,min,2024,ischr,0.0
agg_attend_count,mean,2020,ischr,0.8333333333333334
agg_attend_count,mean,2021,ischr,1.3082191780821917
agg_attend_count,mean,2022,ischr,1.3271767810026385
agg_attend_count,mean,2023,ischr,1.3028064992614476
agg_attend_count,mean,2024,ischr,1.6166666666666667
agg_attend_count,median,2020,ischr,1.0
agg_attend_count,median,2021,ischr,1.0
agg_attend_count,median,2022,ischr,1.0
agg_attend_count,median,2023,ischr,1.0
agg_attend_count,median,2024,ischr,2.0
agg_attend_count,max,2020,ischr,2.0
agg_attend_count,max,2021,ischr,4.0
agg_attend_count,max,2022,ischr,5.0
agg_attend_count,max,2023,ischr,5.0
agg_attend_count,max,2024,ischr,5.0
agg_attend_count,std,2020,ischr,0.7071067811865475
agg_attend_count,std,2021,ischr,1.0276526213902994
agg_attend_count,std,2022,ischr,1.0202060160706017
agg_attend_count,std,2023,ischr,1.0355548120283609
agg_attend_count,std,2024,ischr,1.1365938871382482
agg_not_attend_count,min,2020,ischr,0.0
agg_not_attend_count,min,2021,ischr,0.0
agg_not_attend_count,min,2022,ischr,0.0
agg_not_attend_count,min,2023,ischr,0.0
agg_not_attend_count,min,2024,ischr,0.0
agg_not_attend_count,mean,2020,ischr,0.2222222222222222
agg_not_attend_count,mean,2021,ischr,0.17123287671232876
agg_not_attend_count,mean,2022,ischr,0.24538258575197888
agg_not_attend_count,mean,2023,ischr,0.23042836041358936
agg_not_attend_count,mean,2024,ischr,0.22142857142857142
agg_not_attend_count,median,2020,ischr,0.0
agg_not_attend_count,median,2021,ischr,0.0
agg_not_attend_count,median,2022,ischr,0.0
agg_not_attend_count,median,2023,ischr,0.0
agg_not_attend_count,median,2024,ischr,0.0
agg_not_attend_count,max,2020,ischr,1.0
agg_not_attend_count,max,2021,ischr,1.0
agg_not_attend_count,max,2022,ischr,3.0
agg_not_attend_count,max,2023,ischr,3.0
agg_not_attend_count,max,2024,ischr,2.0
agg_not_attend_count,std,2020,ischr,0.4277926319464986
