Feature,Statistic,Year,Category,Value
num_created_tickets,min,2020,ischr,1.0
num_created_tickets,min,2021,ischr,1.0
num_created_tickets,min,2022,ischr,1.0
num_created_tickets,min,2023,ischr,1.0
num_created_tickets,min,2024,ischr,1.0
num_created_tickets,mean,2020,ischr,1.32
num_created_tickets,mean,2021,ischr,1.5266272189349113
num_created_tickets,mean,2022,ischr,1.430921052631579
num_created_tickets,mean,2023,ischr,1.5236567762630313
num_created_tickets,mean,2024,ischr,1.5373878364905285
num_created_tickets,median,2020,ischr,1.0
num_created_tickets,median,2021,ischr,1.0
num_created_tickets,median,2022,ischr,1.0
num_created_tickets,median,2023,ischr,1.0
num_created_tickets,median,2024,ischr,1.0
num_created_tickets,max,2020,ischr,2.0
num_created_tickets,max,2021,ischr,4.0
num_created_tickets,max,2022,ischr,4.0
num_created_tickets,max,2023,ischr,4.0
num_created_tickets,max,2024,ischr,4.0
num_created_tickets,std,2020,ischr,0.47609522856952347
num_created_tickets,std,2021,ischr,0.6819535031402038
num_created_tickets,std,2022,ischr,0.7250503410467013
num_created_tickets,std,2023,ischr,0.7272786878546469
num_created_tickets,std,2024,ischr,0.7309441820939073
num_closed_tickets,min,2020,ischr,0.0
num_closed_tickets,min,2021,ischr,0.0
num_closed_tickets,min,2022,ischr,0.0
num_closed_tickets,min,2023,ischr,0.0
num_closed_tickets,min,2024,ischr,0.0
num_closed_tickets,mean,2020,ischr,1.16
num_closed_tickets,mean,2021,ischr,1.331360946745562
num_closed_tickets,mean,2022,ischr,1.287828947368421
num_closed_tickets,mean,2023,ischr,1.3488372093023255
num_closed_tickets,mean,2024,ischr,1.415752741774676
num_closed_tickets,median,2020,ischr,1.0
num_closed_tickets,median,2021,ischr,1.0
num_closed_tickets,median,2022,ischr,1.0
num_closed_tickets,median,2023,ischr,1.0
num_closed_tickets,median,2024,ischr,1.0
num_closed_tickets,max,2020,ischr,2.0
num_closed_tickets,max,2021,ischr,4.0
num_closed_tickets,max,2022,ischr,4.0
num_closed_tickets,max,2023,ischr,4.0
num_closed_tickets,max,2024,ischr,4.0
num_closed_tickets,std,2020,ischr,0.5537749241945382
num_closed_tickets,std,2021,ischr,0.8144666198772892
num_closed_tickets,std,2022,ischr,0.800154365472103
num_closed_tickets,std,2023,ischr,0.7938648244589457
num_closed_tickets,std,2024,ischr,0.791440680013354
median_resolution_time,min,2020,ischr,18.0
median_resolution_time,min,2021,ischr,1.0
median_resolution_time,min,2022,ischr,1.0
median_resolution_time,min,2023,ischr,1.0
median_resolution_time,min,2024,ischr,2.0
median_resolution_time,mean,2020,ischr,34.08
median_resolution_time,mean,2021,ischr,44.89349112426036
median_resolution_time,mean,2022,ischr,43.26973684210526
median_resolution_time,mean,2023,ischr,43.956696070569365
median_resolution_time,mean,2024,ischr,47.704885343968094
median_resolution_time,median,2020,ischr,41.0
median_resolution_time,median,2021,ischr,44.0
median_resolution_time,median,2022,ischr,43.0
median_resolution_time,median,2023,ischr,45.0
median_resolution_time,median,2024,ischr,48.0
median_resolution_time,max,2020,ischr,58.0
median_resolution_time,max,2021,ischr,87.0
median_resolution_time,max,2022,ischr,89.0
median_resolution_time,max,2023,ischr,89.0
median_resolution_time,max,2024,ischr,89.0
median_resolution_time,std,2020,ischr,13.738389037049917
median_resolution_time,std,2021,ischr,19.805314768936306
median_resolution_time,std,2022,ischr,22.003735011609095
median_resolution_time,std,2023,ischr,21.68632469188596
median_resolution_time,std,2024,ischr,23.078505394399684
max_resolution_time,min,2020,ischr,18.0
max_resolution_time,min,2021,ischr,1.0
max_resolution_time,min,2022,ischr,1.0
max_resolution_time,min,2023,ischr,1.0
max_resolution_time,min,2024,ischr,2.0
max_resolution_time,mean,2020,ischr,43.28
max_resolution_time,mean,2021,ischr,53.69822485207101
max_resolution_time,mean,2022,ischr,47.879934210526315
max_resolution_time,mean,2023,ischr,50.59182036888532
max_resolution_time,mean,2024,ischr,54.26221335992024
max_resolution_time,median,2020,ischr,53.0
max_resolution_time,median,2021,ischr,58.0
max_resolution_time,median,2022,ischr,47.5
max_resolution_time,median,2023,ischr,53.0
max_resolution_time,median,2024,ischr,57.0
max_resolution_time,max,2020,ischr,74.0
max_resolution_time,max,2021,ischr,87.0
max_resolution_time,max,2022,ischr,89.0
max_resolution_time,max,2023,ischr,89.0
max_resolution_time,max,2024,ischr,89.0
max_resolution_time,std,2020,ischr,23.00999782703163
max_resolution_time,std,2021,ischr,22.82902411554616
max_resolution_time,std,2022,ischr,23.357131179393885
max_resolution_time,std,2023,ischr,23.76299571061416
max_resolution_time,std,2024,ischr,23.85631552242989
median_response_time,min,2020,ischr,1.0
median_response_time,min,2021,ischr,1.0
median_response_time,min,2022,ischr,1.0
median_response_time,min,2023,ischr,1.0
median_response_time,min,2024,ischr,1.0
median_response_time,mean,2020,ischr,7.16
median_response_time,mean,2021,ischr,4.680473372781065
median_response_time,mean,2022,ischr,3.7203947368421053
median_response_time,mean,2023,ischr,4.280673616680032
median_response_time,mean,2024,ischr,3.6610169491525424
median_response_time,median,2020,ischr,7.0
median_response_time,median,2021,ischr,4.0
median_response_time,median,2022,ischr,3.0
median_response_time,median,2023,ischr,3.0
median_response_time,median,2024,ischr,3.0
median_response_time,max,2020,ischr,12.0
median_response_time,max,2021,ischr,16.0
median_response_time,max,2022,ischr,17.0
median_response_time,max,2023,ischr,19.0
median_response_time,max,2024,ischr,19.0
median_response_time,std,2020,ischr,2.687625966040165
median_response_time,std,2021,ischr,3.643932956797093
median_response_time,std,2022,ischr,3.0009518273849833
median_response_time,std,2023,ischr,3.959644364650951
median_response_time,std,2024,ischr,3.445142630896061
max_response_time,min,2020,ischr,1.0
max_response_time,min,2021,ischr,1.0
max_response_time,min,2022,ischr,1.0
max_response_time,min,2023,ischr,1.0
max_response_time,min,2024,ischr,1.0
max_response_time,mean,2020,ischr,7.72
max_response_time,mean,2021,ischr,6.27810650887574
max_response_time,mean,2022,ischr,4.5493421052631575
max_response_time,mean,2023,ischr,5.591820368885325
max_response_time,mean,2024,ischr,4.8554336989032905
max_response_time,median,2020,ischr,7.0
max_response_time,median,2021,ischr,5.0
max_response_time,median,2022,ischr,4.0
max_response_time,median,2023,ischr,4.0
max_response_time,median,2024,ischr,3.0
max_response_time,max,2020,ischr,15.0
max_response_time,max,2021,ischr,19.0
max_response_time,max,2022,ischr,17.0
max_response_time,max,2023,ischr,19.0
max_response_time,max,2024,ischr,19.0
max_response_time,std,2020,ischr,3.4583232931581156
max_response_time,std,2021,ischr,5.415986584092
max_response_time,std,2022,ischr,3.5889542553766725
max_response_time,std,2023,ischr,4.878560276906647
max_response_time,std,2024,ischr,4.554837515954601
num_high_critical_tickets,min,2020,ischr,0.0
num_high_critical_tickets,min,2021,ischr,0.0
num_high_critical_tickets,min,2022,ischr,0.0
num_high_critical_tickets,min,2023,ischr,0.0
num_high_critical_tickets,min,2024,ischr,0.0
num_high_critical_tickets,mean,2020,ischr,0.12
num_high_critical_tickets,mean,2021,ischr,0.6923076923076923
num_high_critical_tickets,mean,2022,ischr,0.805921052631579
num_high_critical_tickets,mean,2023,ischr,0.7794707297514034
num_high_critical_tickets,mean,2024,ischr,0.8155533399800599
num_high_critical_tickets,median,2020,ischr,0.0
num_high_critical_tickets,median,2021,ischr,1.0
num_high_critical_tickets,median,2022,ischr,1.0
num_high_critical_tickets,median,2023,ischr,1.0
num_high_critical_tickets,median,2024,ischr,1.0
num_high_critical_tickets,max,2020,ischr,1.0
num_high_critical_tickets,max,2021,ischr,4.0
num_high_critical_tickets,max,2022,ischr,4.0
num_high_critical_tickets,max,2023,ischr,3.0
num_high_critical_tickets,max,2024,ischr,4.0
num_high_critical_tickets,std,2020,ischr,0.33166247903553997
num_high_critical_tickets,std,2021,ischr,0.7071067811865477
num_high_critical_tickets,std,2022,ischr,0.7965108055006447
num_high_critical_tickets,std,2023,ischr,0.6964450263332801
