FOM,ticket_id,account_id,contract_id,ticket_creation_date,ticket_close_date,response_time,resolution_time,priority,ticket_subject,status,num_previous_tickets_same_subject
2020-08-01,ticket_8326,account_1,contract_1_1_1,2020-01-02,2020-03-19,1,77,Critical,issue_1,Open,0
2020-10-01,ticket_8326,account_1,contract_1_1_1,2020-01-02,2020-03-19,1,77,Critical,issue_1,Resolved,1
2020-09-01,ticket_7622,account_1,contract_1_1_1,2020-06-16,2020-09-06,4,82,Low,issue_1,Pending,2
2020-03-01,ticket_8326,account_1,contract_1_1_1,2020-01-02,2020-03-19,1,77,Critical,issue_2,Pending,0
2020-05-01,ticket_8326,account_1,contract_1_1_1,2020-01-02,2020-03-19,1,77,Critical,issue_2,In Progress,1
2020-07-01,ticket_8326,account_1,contract_1_1_1,2020-01-02,2020-03-19,1,77,Critical,issue_2,Pending,2
2020-09-01,ticket_8326,account_1,contract_1_1_1,2020-01-02,2020-03-19,1,77,Critical,issue_2,Pending,3
2020-12-01,ticket_8326,account_1,contract_1_1_1,2020-01-02,2020-03-19,1,77,Critical,issue_2,Pending,4
2020-02-01,ticket_8326,account_1,contract_1_1_1,2020-01-02,,1,77,Critical,issue_3,Pending,0
2020-04-01,ticket_8326,account_1,contract_1_1_1,2020-01-02,2020-03-19,1,77,Critical,issue_3,In Progress,1
2020-06-01,ticket_8326,account_1,contract_1_1_1,2020-01-02,2020-03-19,1,77,Critical,issue_3,In Progress,2
2020-08-01,ticket_7622,account_1,contract_1_1_1,2020-06-16,,4,82,Low,issue_3,In Progress,3
2020-10-01,ticket_7622,account_1,contract_1_1_1,2020-06-16,2020-09-06,4,82,Low,issue_3,Pending,4
2020-11-01,ticket_7622,account_1,contract_1_1_1,2020-06-16,2020-09-06,4,82,Low,issue_3,In Progress,5
2020-12-01,ticket_7622,account_1,contract_1_1_1,2020-06-16,2020-09-06,4,82,Low,issue_3,Resolved,6
2020-11-01,ticket_8326,account_1,contract_1_1_1,2020-01-02,2020-03-19,1,77,Critical,issue_4,In Progress,0
2020-07-01,ticket_7622,account_1,contract_1_1_1,2020-06-16,,4,82,Low,issue_4,In Progress,1
2021-10-01,ticket_9897,account_1,contract_1_2_1,2021-08-28,2021-09-08,4,11,Low,issue_1,In Progress,0
2021-12-01,ticket_9897,account_1,contract_1_2_1,2021-08-28,2021-09-08,4,11,Low,issue_3,In Progress,0
