FOM,contract_id,MOC,POC,usage_score,support_score,activity_score,score_y_c,ischr,score_final,score_final_b,support_score_label,usage_score_label,activity_score_label
2020-01-01,contract_1_1_1,1,0.0833333333333333,0.6666666666666666,0.0,0.125,0.08,0,0.013642409816384315,0,,healthy,healthy
2020-02-01,contract_1_1_1,2,0.1666666666666666,0.1666666666666666,-0.125,0.0,0.08,0,0.2537720501422882,0,risky,healthy,
2020-03-01,contract_1_1_1,3,0.25,0.5,0.0,0.0,0.08,0,0.19670672714710236,0,normal,healthy,
2020-04-01,contract_1_1_1,4,0.3333333333333333,-0.5,0.0,0.25,0.08,0,0.004407055675983429,0,normal,risky,healthy
2020-05-01,contract_1_1_1,5,0.4166666666666667,0.1666666666666666,0.0,0.0,0.08,0,0.17974914610385895,0,normal,healthy,
2020-06-01,contract_1_1_1,6,0.5,0.1666666666666666,0.0,0.0,0.08,0,0.19549599289894104,0,normal,healthy,
2020-07-01,contract_1_1_1,7,0.5833333333333334,-0.8333333333333333,0.125,0.0,0.08,0,0.1787683516740799,0,healthy,risky,
2020-08-01,contract_1_1_1,8,0.6666666666666666,-0.8333333333333333,0.125,0.0,0.08,0,0.18886518478393555,0,healthy,risky,
2020-09-01,contract_1_1_1,9,0.75,0.1666666666666666,0.375,0.0,0.08,0,0.4626954197883606,0,healthy,healthy,
2020-10-01,contract_1_1_1,10,0.8333333333333334,0.0,0.375,0.0,0.08,0,0.37021753191947937,0,healthy,normal,
2020-11-01,contract_1_1_1,11,0.9166666666666666,-0.1666666666666666,0.375,0.625,0.08,0,0.0007901050266809762,0,healthy,risky,healthy
2020-12-01,contract_1_1_1,12,1.0,-0.5,0.375,0.75,0.08,0,0.00013603361730929464,0,healthy,risky,healthy
2021-01-01,contract_1_2_1,1,0.0833333333333333,-1.0,0.0,0.0,0.78,1,0.8468857407569885,1,,risky,
2021-02-01,contract_1_2_1,2,0.1666666666666666,-0.6666666666666666,0.0,0.0,0.78,1,0.9344378113746643,1,,risky,
2021-03-01,contract_1_2_1,3,0.25,-0.6666666666666666,0.0,0.0,0.78,1,0.9429762959480286,1,,risky,
2021-04-01,contract_1_2_1,4,0.3333333333333333,0.3333333333333333,0.0,0.0,0.78,1,0.9294419884681702,1,,healthy,
2021-05-01,contract_1_2_1,5,0.4166666666666667,0.5,0.0,0.0,0.78,1,0.9205296635627747,1,,healthy,
2021-06-01,contract_1_2_1,6,0.5,-0.5,0.0,-0.125,0.78,1,0.909452497959137,1,,risky,risky
2021-07-01,contract_1_2_1,7,0.5833333333333334,0.1666666666666666,0.0,0.0,0.78,1,0.9168533086776733,1,,healthy,
2021-08-01,contract_1_2_1,8,0.6666666666666666,0.8333333333333333,0.0,0.0,0.78,1,0.9584711790084839,1,,healthy,
2021-09-01,contract_1_2_1,9,0.75,0.1666666666666666,-0.5,0.0,0.78,1,0.9908994436264038,1,risky,healthy,
2021-10-01,contract_1_2_1,10,0.8333333333333334,-0.8333333333333333,-0.5,0.0,0.78,1,0.9909046292304993,1,risky,risky,normal
2021-11-01,contract_1_2_1,11,0.9166666666666666,0.1666666666666666,-0.5,0.0,0.78,1,0.9622079730033875,1,risky,healthy,
2021-12-01,contract_1_2_1,12,1.0,-0.1666666666666666,-0.5,0.0,0.78,1,0.9710695743560791,1,risky,risky,
2020-01-01,contract_1_1_10,1,0.0833333333333333,-0.3333333333333333,0.0,0.0,0.08,0,0.18264111876487732,0,,risky,normal
2020-02-01,contract_1_1_10,2,0.1666666666666666,-0.6666666666666666,0.0,0.125,0.08,0,0.019478706642985344,0,,risky,healthy
2020-03-01,contract_1_1_10,3,0.25,0.1666666666666666,0.0,0.5,0.08,0,0.000370819034287706,0,,healthy,healthy
2020-04-01,contract_1_1_10,4,0.3333333333333333,0.0,0.0,0.0,0.08,0,0.21485905349254608,0,,normal,
2020-05-01,contract_1_1_10,5,0.4166666666666667,-0.5,0.0,0.625,0.08,0,0.00014551388449035585,0,,risky,healthy
2020-06-01,contract_1_1_10,6,0.5,0.1666666666666666,0.0,0.75,0.08,0,3.843762897304259e-05,0,,healthy,healthy
2020-07-01,contract_1_1_10,7,0.5833333333333334,-0.1666666666666667,0.0,0.0,0.08,0,0.19067266583442688,0,,risky,
2020-08-01,contract_1_1_10,8,0.6666666666666666,0.1666666666666666,0.0,0.0,0.08,0,0.19878928363323212,0,,healthy,
2020-09-01,contract_1_1_10,9,0.75,0.1666666666666666,0.0,0.0,0.08,0,0.2223564237356186,0,,healthy,
2020-10-01,contract_1_1_10,10,0.8333333333333334,-0.6666666666666666,0.0,0.75,0.08,0,0.00022786659246776253,0,,risky,healthy
2020-11-01,contract_1_1_10,11,0.9166666666666666,-0.5,0.0,0.75,0.08,0,0.0001432687568012625,0,,risky,healthy
2020-12-01,contract_1_1_10,12,1.0,-0.1666666666666666,0.0,0.0,0.08,0,0.16736966371536255,0,,risky,
2021-01-01,contract_1_2_10,1,0.0833333333333333,-0.6666666666666666,0.0,0.0,0.11,0,0.15529784560203552,0,,risky,
2021-02-01,contract_1_2_10,2,0.1666666666666666,-0.3333333333333333,0.0,0.0,0.11,0,0.3590890169143677,0,,risky,
2021-03-01,contract_1_2_10,3,0.25,0.3333333333333333,0.0,0.25,0.11,0,0.012783218175172806,0,,healthy,healthy
2021-04-01,contract_1_2_10,4,0.3333333333333333,-0.6666666666666666,0.0,0.0,0.11,0,0.2115214616060257,0,,risky,
2021-05-01,contract_1_2_10,5,0.4166666666666667,-0.6666666666666666,0.0,0.5,0.11,0,0.000898251251783222,0,,risky,healthy
2021-06-01,contract_1_2_10,6,0.5,-0.6666666666666666,0.0,0.625,0.11,0,0.00014640686276834458,0,,risky,healthy
2021-07-01,contract_1_2_10,7,0.5833333333333334,0.0,-0.375,0.625,0.11,0,4.43206554336939e-05,0,risky,normal,healthy
2021-08-01,contract_1_2_10,8,0.6666666666666666,-0.1666666666666667,-0.25,0.625,0.11,0,0.001555346418172121,0,risky,risky,healthy
2021-09-01,contract_1_2_10,9,0.75,-0.1666666666666667,-0.25,0.625,0.11,0,0.00746004655957222,0,risky,risky,healthy
2021-10-01,contract_1_2_10,10,0.8333333333333334,-0.1666666666666666,0.625,0.0,0.11,0,0.5833302736282349,1,healthy,risky,
2021-11-01,contract_1_2_10,11,0.9166666666666666,0.5,0.625,0.0,0.11,0,0.745239794254303,1,healthy,healthy,
