FOM,contract_id,MOC,POC,usage_score,support_score,activity_score,score_y_c,ischr,score_final,score_final_b,support_score_label,usage_score_label,activity_score_label,account_id,number_contract,industry,business_size,annual_revenue,has_product_1,has_product_2,has_product_3,has_product_4,has_product_5,contract_acv,per_product,pre_contract_value_change_pct,age_at_contract,num_pre_contract,first_contract_value_change_pct,group,group_des,acv_label,clv_contract,clv_contract_with_churn,customer_lifespan_contract,final_status,stage,stage_at_moc12
1/1/2020,contract_1_1_1,1,0.083333333,0.666666667,0,0.125,0.08,0,0.01364241,0,0,healthy,healthy,account_1,1,Manufacturing,Large,96.79,0,1,1,1,0,58200,0.6,0,1,0,,3,new_next_s,M,58200,52380,1,renewal,adoption,renewal
2/1/2020,contract_1_1_1,2,0.166666667,0.166666667,-0.125,0,0.08,0,0.25377205,0,risky,healthy,0,account_1,1,Manufacturing,Large,96.79,0,1,1,1,0,58200,0.6,0,1,0,,3,new_next_s,M,58200,52380,1,renewal,adoption,renewal
3/1/2020,contract_1_1_1,3,0.25,0.5,0,0,0.08,0,0.196706727,0,normal,healthy,0,account_1,1,Manufacturing,Large,96.79,0,1,1,1,0,58200,0.6,0,1,0,,3,new_next_s,M,58200,52380,1,renewal,adoption,renewal
4/1/2020,contract_1_1_1,4,0.333333333,-0.5,0,0.25,0.08,0,0.004407056,0,normal,risky,healthy,account_1,1,Manufacturing,Large,96.79,0,1,1,1,0,58200,0.6,0,1,0,,3,new_next_s,M,58200,52380,1,renewal,renewal,renewal
5/1/2020,contract_1_1_1,5,0.416666667,0.166666667,0,0,0.08,0,0.179749146,0,normal,healthy,0,account_1,1,Manufacturing,Large,96.79,0,1,1,1,0,58200,0.6,0,1,0,,3,new_next_s,M,58200,52380,1,renewal,renewal,renewal
6/1/2020,contract_1_1_1,6,0.5,0.166666667,0,0,0.08,0,0.195495993,0,normal,healthy,0,account_1,1,Manufacturing,Large,96.79,0,1,1,1,0,58200,0.6,0,1,0,,3,new_next_s,M,58200,52380,1,renewal,renewal,renewal
7/1/2020,contract_1_1_1,7,0.583333333,-0.833333333,0.125,0,0.08,0,0.178768352,0,healthy,risky,0,account_1,1,Manufacturing,Large,96.79,0,1,1,1,0,58200,0.6,0,1,0,,3,new_next_s,M,58200,52380,1,renewal,renewal,renewal
8/1/2020,contract_1_1_1,8,0.666666667,-0.833333333,0.125,0,0.08,0,0.188865185,0,healthy,risky,0,account_1,1,Manufacturing,Large,96.79,0,1,1,1,0,58200,0.6,0,1,0,,3,new_next_s,M,58200,52380,1,renewal,renewal,renewal
9/1/2020,contract_1_1_1,9,0.75,0.166666667,0.375,0,0.08,0,0.46269542,0,healthy,healthy,0,account_1,1,Manufacturing,Large,96.79,0,1,1,1,0,58200,0.6,0,1,0,,3,new_next_s,M,58200,52380,1,renewal,renewal,renewal
10/1/2020,contract_1_1_1,10,0.833333333,0,0.375,0,0.08,0,0.370217532,0,healthy,normal,0,account_1,1,Manufacturing,Large,96.79,0,1,1,1,0,58200,0.6,0,1,0,,3,new_next_s,M,58200,52380,1,renewal,renewal,renewal
