persona,Core Objective,Internal Thinker Name,Customer-Friendly Thinker Name,Internal Doer Name,Customer-Friendly Doer Name,Doer Type,flag,reason_doers,reason_thinkers
Growth Enablers,Detect and Predict Customer Risks Early,Usage Risk Detection Thinker,Boost Customer Engagement Health,Current Usage Monitoring Doer,Track Current Product Usage,Detector,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Usage Risk Detection Thinker,Boost Customer Engagement Health,Baseline Usage Calculator Doer,Calculate Customer Baseline Usage,Detector,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Usage Risk Detection Thinker,Boost Customer Engagement Health,Usage Drop Detector Doer,Detect Drop in Customer Activity,Detector,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Usage Risk Detection Thinker,Boost Customer Engagement Health,Usage Anomaly Diagnoser Doer,Analyze Activity Fluctuations,Diagnoser,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Usage Risk Detection Thinker,Boost Customer Engagement Health,Usage Risk Recommender Doer,Recommend Engagement Actions,Recommender,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Usage Risk Detection Thinker,Boost Customer Engagement Health,Usage Risk Flag Executor Doer,Flag Accounts with Usage Risk,Executor,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Support Risk Detection Thinker,Elevate Customer Support Experience,Ticket Volume Surge Detector Doer,Monitor Support Ticket Surges,Detector,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Support Risk Detection Thinker,Elevate Customer Support Experience,Escalation Pattern Diagnoser Doer,Analyze Escalation Patterns,Diagnoser,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Support Risk Detection Thinker,Elevate Customer Support Experience,Resolution Delay Diagnoser Doer,Detect Delayed Resolutions,Diagnoser,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Support Risk Detection Thinker,Elevate Customer Support Experience,Support Sentiment Analyzer Doer,Analyze Support Sentiment Trends,Diagnoser,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Support Risk Detection Thinker,Elevate Customer Support Experience,Support Risk Recommender Doer,Recommend Support Interventions,Recommender,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Support Risk Detection Thinker,Elevate Customer Support Experience,Support Risk Flag Executor Doer,Flag Support Risk Accounts,Executor,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Sentiment Risk Detection Thinker,Strengthen Customer Sentiment and Loyalty,Sentiment Signal Extractor Doer,Extract Customer Sentiment Signals,Detector,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Sentiment Risk Detection Thinker,Strengthen Customer Sentiment and Loyalty,Negative Sentiment Surge Detector Doer,Detect Rising Negative Sentiment,Detector,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Sentiment Risk Detection Thinker,Strengthen Customer Sentiment and Loyalty,Sentiment Trend Diagnoser Doer,Analyze Sentiment Trends,Diagnoser,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Sentiment Risk Detection Thinker,Strengthen Customer Sentiment and Loyalty,Emotional Risk Recommender Doer,Recommend Emotional Risk Actions,Recommender,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Sentiment Risk Detection Thinker,Strengthen Customer Sentiment and Loyalty,Sentiment Risk Flag Executor Doer,Flag Accounts with Sentiment Risk,Executor,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Contract Risk Detection Thinker,Maximize Renewal Success and Contract Stability,Contract Term Change Detector Doer,Detect Contract Changes,Detector,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Contract Risk Detection Thinker,Maximize Renewal Success and Contract Stability,Renewal Risk Diagnoser Doer,Analyze Renewal Risks,Diagnoser,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Contract Risk Detection Thinker,Maximize Renewal Success and Contract Stability,Financial Risk Diagnoser Doer,Analyze Financial Signals,Diagnoser,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Contract Risk Detection Thinker,Maximize Renewal Success and Contract Stability,Contract Risk Recommender Doer,Recommend Renewal Strategies,Recommender,1,,
Growth Enablers,Detect and Predict Customer Risks Early,Contract Risk Detection Thinker,Maximize Renewal Success and Contract Stability,Contract Risk Flag Executor Doer,Flag Accounts with Contract Risk,Executor,1,,
