FOM,ticket_id,account_id,contract_id,ticket_creation_date,ticket_close_date,response_time,resolution_time,priority,ticket_subject,status
2020-07-01,ticket_1216,account_1,contract_1_1_1,2020-06-24,2020-07-03,8,9,Low,issue_3,Resolved
2020-08-01,ticket_1216,account_1,contract_1_1_1,2020-06-24,2020-07-03,8,9,Low,issue_3,Pending
2020-09-01,ticket_1216,account_1,contract_1_1_1,2020-06-24,2020-07-03,8,9,Low,issue_1,In Progress
2020-10-01,ticket_1216,account_1,contract_1_1_1,2020-06-24,2020-07-03,8,9,Low,issue_2,Resolved
2020-11-01,ticket_1216,account_1,contract_1_1_1,2020-06-24,2020-07-03,8,9,Low,issue_4,In Progress
2020-12-01,ticket_1216,account_1,contract_1_1_1,2020-06-24,2020-07-03,8,9,Low,issue_3,In Progress
2020-10-01,ticket_9435,account_1,contract_1_1_1,2020-09-08,2020-09-15,1,7,Critical,issue_2,Open
2020-11-01,ticket_9435,account_1,contract_1_1_1,2020-09-08,2020-09-15,1,7,Critical,issue_2,Pending
2020-12-01,ticket_9435,account_1,contract_1_1_1,2020-09-08,2020-09-15,1,7,Critical,issue_2,Pending
2020-08-01,ticket_3583,account_10,contract_1_1_10,2020-07-29,,2,81,High,issue_2,Pending
2020-09-01,ticket_3583,account_10,contract_1_1_10,2020-07-29,,2,81,High,issue_3,Open
2020-10-01,ticket_3583,account_10,contract_1_1_10,2020-07-29,2020-10-18,2,81,High,issue_1,Open
2020-11-01,ticket_3583,account_10,contract_1_1_10,2020-07-29,2020-10-18,2,81,High,issue_4,Resolved
2020-12-01,ticket_3583,account_10,contract_1_1_10,2020-07-29,2020-10-18,2,81,High,issue_4,In Progress
2020-02-01,ticket_2343,account_10,contract_1_1_10,2020-01-20,2020-02-17,6,28,Medium,issue_1,Resolved
2020-03-01,ticket_2343,account_10,contract_1_1_10,2020-01-20,2020-02-17,6,28,Medium,issue_3,Resolved
2020-04-01,ticket_2343,account_10,contract_1_1_10,2020-01-20,2020-02-17,6,28,Medium,issue_2,In Progress
2020-05-01,ticket_2343,account_10,contract_1_1_10,2020-01-20,2020-02-17,6,28,Medium,issue_2,Open
2020-06-01,ticket_2343,account_10,contract_1_1_10,2020-01-20,2020-02-17,6,28,Medium,issue_2,Pending
2020-07-01,ticket_2343,account_10,contract_1_1_10,2020-01-20,2020-02-17,6,28,Medium,issue_3,Closed
2020-08-01,ticket_2343,account_10,contract_1_1_10,2020-01-20,2020-02-17,6,28,Medium,issue_3,Open
2020-09-01,ticket_2343,account_10,contract_1_1_10,2020-01-20,2020-02-17,6,28,Medium,issue_3,In Progress
2020-10-01,ticket_2343,account_10,contract_1_1_10,2020-01-20,2020-02-17,6,28,Medium,issue_2,Open
2020-11-01,ticket_2343,account_10,contract_1_1_10,2020-01-20,2020-02-17,6,28,Medium,issue_4,Resolved
2020-12-01,ticket_2343,account_10,contract_1_1_10,2020-01-20,2020-02-17,6,28,Medium,issue_3,Pending
2020-03-01,ticket_7389,account_10,contract_1_1_10,2020-02-24,,1,74,Critical,issue_1,Resolved
2020-04-01,ticket_7389,account_10,contract_1_1_10,2020-02-24,,1,74,Critical,issue_2,Resolved
2020-05-01,ticket_7389,account_10,contract_1_1_10,2020-02-24,2020-05-08,1,74,Critical,issue_1,Pending
2020-06-01,ticket_7389,account_10,contract_1_1_10,2020-02-24,2020-05-08,1,74,Critical,issue_4,In Progress
2020-07-01,ticket_7389,account_10,contract_1_1_10,2020-02-24,2020-05-08,1,74,Critical,issue_3,In Progress
2020-08-01,ticket_7389,account_10,contract_1_1_10,2020-02-24,2020-05-08,1,74,Critical,issue_1,Pending
2020-09-01,ticket_7389,account_10,contract_1_1_10,2020-02-24,2020-05-08,1,74,Critical,issue_1,Open
2020-10-01,ticket_7389,account_10,contract_1_1_10,2020-02-24,2020-05-08,1,74,Critical,issue_4,Open
2020-11-01,ticket_7389,account_10,contract_1_1_10,2020-02-24,2020-05-08,1,74,Critical,issue_4,Open
2020-12-01,ticket_7389,account_10,contract_1_1_10,2020-02-24,2020-05-08,1,74,Critical,issue_3,Open
2022-06-01,ticket_2335,account_10,contract_1_3_6,2022-05-13,,1,74,Critical,issue_2,Closed
2022-07-01,ticket_2335,account_10,contract_1_3_6,2022-05-13,2022-07-26,1,74,Critical,issue_3,Pending
2022-08-01,ticket_2335,account_10,contract_1_3_6,2022-05-13,2022-07-26,1,74,Critical,issue_2,Resolved
2022-09-01,ticket_2335,account_10,contract_1_3_6,2022-05-13,2022-07-26,1,74,Critical,issue_4,Resolved
2022-10-01,ticket_2335,account_10,contract_1_3_6,2022-05-13,2022-07-26,1,74,Critical,issue_1,Pending
2022-11-01,ticket_2335,account_10,contract_1_3_6,2022-05-13,2022-07-26,1,74,Critical,issue_1,Open
2022-12-01,ticket_2335,account_10,contract_1_3_6,2022-05-13,2022-07-26,1,74,Critical,issue_2,Open
2024-11-01,ticket_7245,account_10,contract_1_5_1,2024-10-05,2024-10-23,7,18,Medium,issue_3,In Progress
2024-12-01,ticket_7245,account_10,contract_1_5_1,2024-10-05,2024-10-23,7,18,Medium,issue_2,In Progress
2020-02-01,ticket_3170,account_100,contract_11_1_1,2020-01-27,2020-02-07,1,11,Critical,issue_3,Resolved
2020-03-01,ticket_3170,account_100,contract_11_1_1,2020-01-27,2020-02-07,1,11,Critical,issue_3,Closed
2020-04-01,ticket_3170,account_100,contract_11_1_1,2020-01-27,2020-02-07,1,11,Critical,issue_4,Resolved
2020-05-01,ticket_3170,account_100,contract_11_1_1,2020-01-27,2020-02-07,1,11,Critical,issue_4,Open
2020-06-01,ticket_3170,account_100,contract_11_1_1,2020-01-27,2020-02-07,1,11,Critical,issue_4,Pending
